role,seniority,n,onsite,hybrid,remote,pct_any_remote
Software Engineer,senior,6235,2576,794,2865,58.684843624699276
Software Engineer,entry,1355,713,146,496,47.38007380073801
Software Engineer,mid,1176,559,141,476,52.465986394557824
Software Engineer,staff,1018,375,128,515,63.16306483300589
Software Engineer,intern,684,537,49,98,21.49122807017544
Software Engineer,principal,270,184,16,70,31.85185185185185
Product Manager,senior,1407,607,229,571,56.85856432125089
Product Manager,mid,281,115,65,101,59.07473309608541
Product Manager,staff,216,90,47,79,58.333333333333336
Product Manager,principal,200,87,23,90,56.5
Product Manager,entry,97,65,8,24,32.98969072164948
Product Manager,intern,58,46,2,10,20.689655172413794
Data Scientist,senior,628,329,112,187,47.611464968152866
Data Scientist,mid,230,121,47,62,47.391304347826086
Data Scientist,intern,173,150,13,10,13.294797687861271
Data Scientist,staff,116,52,27,37,55.172413793103445
Data Scientist,entry,86,49,19,18,43.02325581395349
Data Scientist,principal,35,27,0,8,22.857142857142858
Product Designer,senior,606,213,105,288,64.85148514851485
Product Designer,staff,258,140,23,95,45.736434108527135
Product Designer,mid,109,61,16,32,44.03669724770642
Product Designer,entry,48,31,7,10,35.416666666666664
Product Designer,principal,13,4,3,6,69.23076923076923
Product Designer,intern,12,6,2,4,50.0
Data Engineer,senior,613,220,61,332,64.11092985318108
Data Engineer,mid,129,59,16,54,54.263565891472865
Data Engineer,entry,66,32,9,25,51.515151515151516
Data Engineer,staff,60,17,6,37,71.66666666666667
Data Engineer,intern,37,33,0,4,10.81081081081081
Data Engineer,principal,17,12,1,4,29.41176470588235
Machine Learning Engineer,senior,428,134,65,229,68.69158878504673
Machine Learning Engineer,mid,156,52,29,75,66.66666666666667
Machine Learning Engineer,staff,150,48,22,80,68.0
Machine Learning Engineer,intern,81,57,8,16,29.62962962962963
Machine Learning Engineer,entry,35,15,5,15,57.142857142857146
Machine Learning Engineer,principal,22,6,6,10,72.72727272727273
Backend Engineer,senior,384,106,41,237,72.39583333333333
Backend Engineer,mid,81,30,7,44,62.96296296296296
Backend Engineer,staff,79,26,5,48,67.0886075949367
Backend Engineer,entry,39,15,10,14,61.53846153846154
Backend Engineer,principal,6,3,0,3,50.0
Backend Engineer,intern,5,5,0,0,0.0
Technical Program Manager,senior,352,187,59,106,46.875
Technical Program Manager,staff,157,93,21,43,40.76433121019108
Technical Program Manager,mid,42,26,5,11,38.095238095238095
Technical Program Manager,principal,26,10,5,11,61.53846153846154
Technical Program Manager,entry,10,3,3,4,70.0
Technical Program Manager,intern,7,6,1,0,14.285714285714286
ML Engineer,senior,179,121,11,47,32.402234636871505
ML Engineer,intern,124,99,7,18,20.161290322580644
ML Engineer,staff,111,54,10,47,51.351351351351354
ML Engineer,principal,57,36,1,20,36.8421052631579
ML Engineer,mid,55,26,5,24,52.72727272727273
ML Engineer,entry,21,15,1,5,28.571428571428573
Data Analyst,senior,228,102,29,97,55.26315789473684
Data Analyst,entry,104,60,16,28,42.30769230769231
Data Analyst,intern,85,74,2,9,12.941176470588236
Data Analyst,mid,76,40,9,27,47.36842105263158
Data Analyst,staff,11,6,2,3,45.45454545454545
Data Analyst,principal,4,3,0,1,25.0
Site Reliability Engineer,senior,323,95,53,175,70.58823529411765
Site Reliability Engineer,staff,76,15,12,49,80.26315789473684
Site Reliability Engineer,entry,22,6,4,12,72.72727272727273
Site Reliability Engineer,mid,17,6,4,7,64.70588235294117
Site Reliability Engineer,principal,13,3,1,9,76.92307692307692
Site Reliability Engineer,intern,4,0,1,3,100.0
Security Engineer,senior,328,127,57,144,61.28048780487805
Security Engineer,staff,66,31,7,28,53.03030303030303
Security Engineer,entry,21,10,5,6,52.38095238095238
Security Engineer,mid,21,10,5,6,52.38095238095238
Security Engineer,principal,10,5,1,4,50.0
Security Engineer,intern,5,2,0,3,60.0
AI Engineer,senior,228,95,41,92,58.333333333333336
AI Engineer,staff,67,22,10,35,67.16417910447761
