month,quits_SC,all_sep,quit_rate_ann_pct
2023-01,211,735,1.9577672793065855
2023-02,180,628,1.6701332240530113
2023-03,215,701,1.9948813509522079
2023-04,186,638,1.725804331521445
2023-05,208,620,1.9299317255723685
2023-06,235,759,2.1804517091803204
2023-07,235,778,2.1804517091803204
2023-08,193,620,1.7907539569012842
2023-09,223,753,2.069109494243453
2023-10,216,700,2.0041598688636135
2023-11,189,566,1.7536398852556618
2023-12,204,1187,1.892817653926746
2024-01,186,811,1.725804331521445
2024-02,188,611,1.7443613673442562
2024-03,196,661,1.8185895106355012
2024-04,232,725,2.1526161554461036
2024-05,201,677,1.8649821001925293
2024-06,194,797,1.80003247481269
2024-07,199,665,1.846425064369718
2024-08,212,652,1.967045797217991
2024-09,222,783,2.059830976332047
2024-10,185,615,1.7165258136100394
2024-11,195,716,1.8093109927240956
2024-12,164,1244,1.5216769374705215
2025-01,210,873,1.9484887613951798
2025-02,164,681,1.5216769374705215
2025-03,451,1061,4.184611578043934
2025-04,367,1429,3.4052160734858616
2025-05,425,1210,3.9433701123473877
2025-06,311,686,2.8856190704471474
2025-07,278,871,2.5794279793707617
2025-08,275,741,2.551592425636545
2025-09,5233,9502,48.5544842303856
2025-10,415,645,3.8505849332333315
2025-11,326,895,3.0247968391182316
2025-12,214,2089,1.9856028330408022
2026-01,407,2003,3.7763567899420867
2026-02,284,846,2.6350990868391957
2026-03,270,781,2.505199836079517
2026-04,239,610,2.2175657808259426
2026-05,246,722,2.282515406205782
