register,n_on,naive_median_on,naive_median_off,naive_pct,cs_pct,cs_lo,cs_hi,cs_p,fe_pct,fe_lo,fe_hi,fe_p
f_strict,167,205000,190000,7.89,0.25,-5.12,5.93,0.9281,-2.81,-9.08,3.9,0.4029
f_pipeline,1294,213150,190000,12.18,3.83,1.66,6.06,0.0005,1.85,0.21,3.51,0.0267
f_ship_register,3679,201400,188500,6.84,4.0,1.91,6.15,0.0002,0.31,-0.72,1.34,0.5577
f_prod_grade,5776,200000,187048,6.92,2.86,0.86,4.89,0.0048,1.06,0.15,1.98,0.0218
f_research_any,2052,213250,189181,12.72,2.41,0.2,4.67,0.0327,1.89,-0.75,4.59,0.1629
f_experimentation,970,210000,190000,10.53,6.19,1.64,10.93,0.0071,2.11,-0.63,4.92,0.1318
f_evals,1826,218812,189000,15.77,5.86,3.51,8.27,0.0,2.45,0.96,3.96,0.0012
f_stats_rigor,1885,185000,191500,-3.39,0.19,-2.18,2.61,0.8775,-1.72,-3.6,0.2,0.0786
f_phd,3381,203500,188334,8.05,-1.69,-7.8,4.83,0.6029,2.84,0.43,5.3,0.0205
f_placebo_eoe,10412,179000,197500,-9.37,-5.98,-9.62,-2.2,0.0022,-0.36,-2.96,2.32,0.792
f_placebo_dent,11805,185000,195000,-5.13,-3.87,-8.15,0.6,0.0889,0.1,-1.86,2.11,0.9177
f_llm,7015,200000,185000,8.11,2.28,-0.91,5.58,0.1634,0.36,-0.48,1.21,0.3989
f_anti_research,206,206250,190000,8.55,,,,,,,,
