role_group,register,n_postings,k,pct,ci_lo,ci_hi
AI Engineer,anti_research_strict,2593,71,2.74,2.18,3.44
AI Engineer,anti_research_broad,2593,116,4.47,3.74,5.34
AI Engineer,research_positive,2593,1122,43.27,41.37,45.19
AI Engineer,evals,2593,944,36.41,34.58,38.28
AI Engineer,ship_register,2593,756,29.16,27.44,30.93
AI Engineer,phd,2593,286,11.03,9.88,12.29
ML Engineer,anti_research_strict,3935,74,1.88,1.5,2.35
ML Engineer,anti_research_broad,3935,98,2.49,2.05,3.03
ML Engineer,research_positive,3935,1709,43.43,41.89,44.99
ML Engineer,evals,3935,947,24.07,22.76,25.43
ML Engineer,ship_register,3935,536,13.62,12.59,14.73
ML Engineer,phd,3935,1393,35.4,33.92,36.91
Data Scientist,anti_research_strict,4424,44,0.99,0.74,1.33
Data Scientist,anti_research_broad,4424,48,1.08,0.82,1.44
Data Scientist,research_positive,4424,1430,32.32,30.96,33.72
Data Scientist,evals,4424,528,11.93,11.01,12.92
Data Scientist,ship_register,4424,482,10.9,10.01,11.85
Data Scientist,phd,4424,1281,28.96,27.64,30.31
Research/Applied Scientist,anti_research_strict,3271,27,0.83,0.57,1.2
Research/Applied Scientist,anti_research_broad,3271,37,1.13,0.82,1.56
Research/Applied Scientist,research_positive,3271,2393,73.16,71.61,74.65
Research/Applied Scientist,evals,3271,800,24.46,23.01,25.96
Research/Applied Scientist,ship_register,3271,366,11.19,10.15,12.32
Research/Applied Scientist,phd,3271,2067,63.19,61.52,64.83
Data Engineer,anti_research_strict,4083,10,0.24,0.13,0.45
Data Engineer,anti_research_broad,4083,12,0.29,0.17,0.51
Data Engineer,research_positive,4083,262,6.42,5.71,7.21
Data Engineer,evals,4083,86,2.11,1.71,2.59
Data Engineer,ship_register,4083,404,9.89,9.02,10.85
Data Engineer,phd,4083,115,2.82,2.35,3.37
Data Analyst,anti_research_strict,2218,0,0.0,0.0,0.17
Data Analyst,anti_research_broad,2218,4,0.18,0.07,0.46
Data Analyst,research_positive,2218,189,8.52,7.43,9.76
Data Analyst,evals,2218,25,1.13,0.76,1.66
Data Analyst,ship_register,2218,138,6.22,5.29,7.3
Data Analyst,phd,2218,68,3.07,2.43,3.87
Software Engineer,anti_research_strict,41892,213,0.51,0.44,0.58
Software Engineer,anti_research_broad,41892,283,0.68,0.6,0.76
Software Engineer,research_positive,41892,3380,8.07,7.81,8.33
Software Engineer,evals,41892,1654,3.95,3.77,4.14
Software Engineer,ship_register,41892,7495,17.89,17.53,18.26
Software Engineer,phd,41892,2688,6.42,6.19,6.66
