fam,month,n,asked_pct
Product Manager,2026-03,1462,3.35
Product Manager,2026-04,1266,2.84
Product Manager,2026-05,1146,3.66
Product Manager,2026-06,1083,5.54
Product Manager,2026-07,1675,5.49
Product Manager,2026-08,2265,4.33
Product Manager,2026-09,1208,5.38
AI Engineer,2026-03,677,19.5
AI Engineer,2026-04,545,16.33
AI Engineer,2026-05,563,19.01
AI Engineer,2026-06,490,24.08
AI Engineer,2026-07,695,27.77
AI Engineer,2026-08,886,19.98
AI Engineer,2026-09,554,22.74
ML Engineer,2026-03,510,9.8
ML Engineer,2026-04,563,8.35
ML Engineer,2026-05,443,7.22
ML Engineer,2026-06,483,6.21
ML Engineer,2026-07,582,9.11
ML Engineer,2026-08,531,10.73
ML Engineer,2026-09,357,11.76
Data Scientist,2026-03,514,4.09
Data Scientist,2026-04,552,3.99
Data Scientist,2026-05,562,4.27
Data Scientist,2026-06,401,2.74
Data Scientist,2026-07,759,4.48
Data Scientist,2026-08,762,5.77
Data Scientist,2026-09,423,4.49
Software Engineer,2026-03,6709,2.18
Software Engineer,2026-04,5631,1.65
Software Engineer,2026-05,5033,2.11
Software Engineer,2026-06,4663,2.42
Software Engineer,2026-07,7077,2.97
Software Engineer,2026-08,7345,3.13
Software Engineer,2026-09,4901,3.12
