skill,PM_pct,SWE_pct,PE_pct
.NET,0.00,2.52,1.35
.NET Core,0.00,1.07,0.00
A/B testing,9.61,0.95,2.85
AI,4.10,1.04,1.95
AI agents,1.90,1.17,3.60
AI tools,2.58,0.00,1.65
AI-powered developer tools,0.00,0.00,1.95
AI/ML,2.78,0.00,0.00
API,1.24,0.00,0.00
API design,2.78,4.55,9.01
API development,0.00,2.23,1.50
API integration,1.46,1.20,3.00
API integrations,0.93,0.00,0.00
APIs,5.96,5.87,8.26
AWS,1.11,21.98,17.87
AWS Lambda,0.00,1.76,1.05
Activation,0.96,0.00,0.00
Agentic workflows,0.90,0.00,2.10
Agile,7.31,4.18,2.40
Airflow,0.00,1.17,0.00
Amazon S3,0.00,0.94,0.00
Amplitude,1.12,0.00,0.00
Android,0.00,1.26,0.00
Angular,0.00,4.21,3.00
Ansible,0.00,1.07,0.00
Apache Spark,0.00,1.16,0.00
Automated testing,0.00,3.44,1.80
Azure,0.80,7.91,4.50
B2B SaaS,3.02,0.00,0.00
Backend services,0.00,1.89,3.90
Backlog prioritization,1.39,0.00,0.00
Bash,0.00,0.98,0.00
BigQuery,0.00,1.00,2.25
Business case development,1.46,0.00,0.00
C,0.00,3.97,0.00
C#,0.00,6.09,2.10
C++,0.00,11.98,0.00
C/C++,0.00,1.30,0.00
CI/CD,0.00,15.46,8.26
CI/CD pipelines,0.00,1.28,0.00
CRM,1.24,0.00,0.00
CSS,0.00,3.93,3.15
Cassandra,0.00,0.92,0.00
Claude,0.00,0.00,2.25
Claude Code,1.03,1.16,4.95
Clickhouse,0.00,0.96,1.65
Code quality,0.00,1.69,3.90
Code review,0.00,2.80,3.30
Competitive analysis,3.52,0.00,0.00
Concurrency,0.00,1.36,0.00
Confluence,1.19,0.00,0.00
Continuous integration,0.00,2.43,0.00
Conversion rate optimization,1.11,0.00,0.00
Copilot,0.00,0.00,1.35
Cross-functional collaboration,7.45,0.00,0.00
Cross-functional leadership,2.58,0.00,0.00
Cursor,1.03,1.66,6.46
Customer discovery,4.03,0.00,0.00
Customer feedback analysis,1.30,0.00,0.00
Customer interviews,1.50,0.00,0.00
Customer research,2.31,0.00,0.00
Data analysis,18.88,1.61,3.45
Data engineering,0.00,0.00,1.20
Data infrastructure,0.88,0.00,0.00
Data ingestion,0.76,0.00,1.50
Data-driven decisions,6.53,0.00,0.00
Datadog,0.00,2.04,1.20
Design patterns,0.00,2.10,0.00
DevOps,0.00,4.15,1.35
Discovery,1.32,0.00,0.00
Distributed systems,1.65,17.16,14.11
Django,0.00,2.95,2.25
Docker,0.00,13.37,5.26
