state,n_onsite,onsite_prem_pct,n_remote,remote_prem_pct,gap_pp
Maryland,668,5.21,366,-13.57,18.78
California,8551,4.53,7268,10.91,-6.38
New York,2686,3.32,2516,4.36,-1.04
Washington,1038,2.74,1328,6.62,-3.88
District of Columbia,493,0.28,283,0.54,-0.26
Massachusetts,1247,-5.16,961,-12.19,7.03
Virginia,643,-5.2,378,-10.01,4.81
Illinois,388,-9.58,333,-9.74,0.16
Texas,386,-11.0,472,-12.89,1.89
Colorado,483,-11.23,400,-13.66,2.43
Georgia,247,-16.98,181,-10.25,-6.73
North Carolina,153,-17.12,150,-15.27,-1.85
