role,n,pct_neighbours_other_title,pct_majority_other
Product Engineer,409,0.8092500000000001,0.99
Platform Engineer,734,0.807,0.9525
Infrastructure Engineer,547,0.7752500000000001,0.895
Technology Architect,831,0.70075,0.815
Software Engineer,3696,0.6872499999999999,0.85
Cloud Engineer,369,0.6582655826558266,0.7317073170731707
AI Engineer,1410,0.654,0.7625
Forward Deployed Engineer,781,0.62825,0.745
Research Scientist,721,0.6182500000000001,0.735
Backend Engineer,1679,0.61225,0.72
Analytics Engineer,416,0.6104999999999999,0.7425
Research Engineer,644,0.609,0.7325
Solutions Architect,1620,0.59775,0.7025
Business Analyst,1130,0.5675,0.665
UX Designer,326,0.5668711656441717,0.6993865030674846
Full Stack Engineer,1815,0.5552499999999999,0.6625
DevOps Engineer,1248,0.49599999999999994,0.57
Technical Program Manager,2029,0.4815,0.55
Data Analyst,1409,0.477,0.505
Data Scientist,1818,0.45325000000000004,0.485
Site Reliability Engineer,1077,0.43599999999999994,0.49
Frontend Engineer,851,0.43075,0.41
Data Engineer,1726,0.42174999999999996,0.4175
QA / Test Engineer,1152,0.4134999999999999,0.42
ML Engineer,2873,0.38925,0.365
Program Manager,2197,0.3795,0.3675
Product Manager,3042,0.37349999999999994,0.37
Systems Engineer,2132,0.366,0.4025
Security Engineer,1686,0.29825,0.2875
Mobile Engineer,551,0.28675,0.2525
Embedded Engineer,795,0.27225,0.2775
Product Designer,2008,0.08700000000000001,0.045
