canonical_skill,n_jobs_with_skill_in_sample,coef,coef_pct
genai,39,0.24313,27.52
llm apis,30,0.20959,23.32
causal inference,79,0.2015,22.32
pytorch,764,0.16961,18.48
data curation,239,0.16599,18.06
distributed training,55,0.16449,17.88
software engineering,1145,0.16344,17.76
evaluation frameworks,87,0.16329,17.74
jax,108,0.1619,17.57
dbt,952,0.14824,15.98
distributed computing,66,0.14613,15.74
agentic workflows,244,0.14028,15.06
vector databases,259,0.13292,14.22
observability,1699,0.13138,14.04
reinforcement learning,178,0.1283,13.69
data visualization,1637,0.12523,13.34
guardrails,31,0.11606,12.31
go,2160,0.10039,10.56
machine learning,2601,0.09378,9.83
reasoning,191,0.09167,9.6
pandas,318,0.08483,8.85
hypothesis testing,210,0.08128,8.47
latency optimization,47,0.07833,8.15
fine-tuning,344,0.07816,8.13
profiling,409,0.0778,8.09
nlp,512,0.07742,8.05
pulumi,64,0.07727,8.03
mlflow,77,0.0748,7.77
experiment design,55,0.07396,7.68
data quality,1135,0.06862,7.1
open-source contributions,581,0.06848,7.09
data science,582,0.06721,6.95
multi-agent systems,204,0.06673,6.9
robotics,310,0.06605,6.83
prompting,222,0.06521,6.74
experimentation,1376,0.06364,6.57
inference,51,0.06355,6.56
model deployment,464,0.06266,6.47
rag,332,0.0613,6.32
forecasting,523,0.05841,6.02
rlhf,52,0.0584,6.01
optimization,113,0.05433,5.58
ai,849,0.05401,5.55
networking,587,0.05125,5.26
statistical modeling,109,0.04881,5.0
java,2932,0.04846,4.97
dashboards,361,0.0469,4.8
react,2633,0.04685,4.8
cuda,421,0.04602,4.71
aws,4086,0.04213,4.3
statistics,136,0.04099,4.18
distributed systems,3226,0.03853,3.93
alerting,164,0.03796,3.87
snowflake,1174,0.03655,3.72
c++,3028,0.03407,3.47
scipy,39,0.0339,3.45
etl,2115,0.0303,3.08
data pipelines,1640,0.02874,2.92
computer vision,956,0.02694,2.73
classification,55,0.02686,2.72
diffusion models,35,0.02579,2.61
generative ai,404,0.02531,2.56
orchestration,275,0.02519,2.55
eks,55,0.02471,2.5
feature engineering,254,0.02429,2.46
debugging,1545,0.01985,2.0
evaluation,597,0.01973,1.99
terraform,800,0.01918,1.94
model training,126,0.01651,1.67
mlops,293,0.01492,1.5
hadoop,227,0.01426,1.44
monitoring,670,0.01283,1.29
statistical analysis,123,0.01236,1.24
code review,312,0.0075,0.75
xgboost,31,0.00676,0.68
langchain,76,0.00665,0.67
apis,2386,0.00647,0.65
r,232,0.00592,0.59
containerization,237,0.00467,0.47
model monitoring,230,0.00459,0.46
foundation models,64,0.00344,0.34
rust,1330,0.00309,0.31
benchmarking,69,0.00252,0.25
performance optimization,1062,0.00185,0.19
kubernetes,2207,-0.00133,-0.13
training,69,-0.0014,-0.14
data processing,529,-0.00195,-0.19
git,770,-0.00344,-0.34
ec2,60,-0.00352,-0.35
deep learning,218,-0.00555,-0.55
metrics,367,-0.00745,-0.74
transformer,53,-0.0075,-0.75
llms,1766,-0.01032,-1.03
testing,1049,-0.01347,-1.34
recommendation systems,56,-0.01532,-1.52
infrastructure-as-code,338,-0.01575,-1.56
airflow,548,-0.01588,-1.58
predictive modeling,92,-0.01911,-1.89
numpy,96,-0.02,-1.98
grafana,325,-0.02217,-2.19
experimental design,53,-0.02296,-2.27
python,11736,-0.02422,-2.39
spark,581,-0.02458,-2.43
retrieval,223,-0.02616,-2.58
docker,1862,-0.02744,-2.71
azure,702,-0.02829,-2.79
embeddings,236,-0.0291,-2.87
typescript,3243,-0.02968,-2.92
databricks,136,-0.03133,-3.08
gcp,1015,-0.03276,-3.22
ci/cd,2850,-0.03288,-3.23
model validation,40,-0.03427,-3.37
a/b testing,900,-0.03712,-3.64
model serving,54,-0.04088,-4.01
anomaly detection,849,-0.04552,-4.45
regression,38,-0.04941,-4.82
cloudformation,250,-0.05393,-5.25
data modeling,2484,-0.05597,-5.44
data ingestion,515,-0.06082,-5.9
vllm,195,-0.0616,-5.97
data mining,54,-0.06682,-6.46
algorithms,537,-0.06901,-6.67
logging,337,-0.06906,-6.67
pyspark,46,-0.07042,-6.8
scalability,972,-0.08014,-7.7
data cleaning,44,-0.08026,-7.71
ai agents,468,-0.08261,-7.93
sql,5403,-0.08569,-8.21
code reviews,1032,-0.08739,-8.37
fastapi,272,-0.08897,-8.51
scikit-learn,102,-0.09329,-8.91
linear algebra,46,-0.09371,-8.95
data analysis,2859,-0.09983,-9.5
deployment,557,-0.1064,-10.09
openai,218,-0.1212,-11.41
tableau,1352,-0.12607,-11.84
tensorflow,237,-0.13025,-12.21
looker,1099,-0.13083,-12.26
javascript,2681,-0.13529,-12.65
simulation,282,-0.1543,-14.3
microservices,918,-0.20239,-18.32
prompt engineering,1239,-0.24356,-21.62
model optimization,198,-0.26324,-23.14
data labeling,240,-0.39639,-32.73
