canonical_skill,n_jobs_with_skill,entry_junior_share,mid_share,senior_share,staff_principal_share,gradient
python,3589,0.063,0.2031,0.5968,0.1371,0.708
machine learning,2954,0.0535,0.1767,0.5917,0.1781,0.7786
pytorch,1545,0.0453,0.1838,0.5877,0.1832,0.7945
sql,1523,0.0742,0.2239,0.5988,0.1031,0.6422
llms,1268,0.0623,0.1735,0.5836,0.1806,0.761
tensorflow,976,0.042,0.1977,0.6066,0.1537,0.7741
deep learning,925,0.0432,0.1805,0.6184,0.1578,0.7903
evaluation,826,0.0521,0.1804,0.5484,0.2191,0.799
data pipelines,718,0.071,0.2145,0.546,0.1685,0.6922
nlp,646,0.0495,0.2353,0.5774,0.1378,0.7098
aws,637,0.044,0.2292,0.5934,0.1334,0.7276
rag,589,0.0594,0.2207,0.5806,0.1392,0.7003
fine-tuning,589,0.0509,0.1902,0.5722,0.1868,0.7759
a/b testing,557,0.0215,0.1688,0.6679,0.1418,0.8483
r,532,0.0733,0.2293,0.5808,0.1165,0.6457
reinforcement learning,521,0.0345,0.1113,0.6046,0.2495,0.9271
scikit-learn,507,0.0434,0.1992,0.645,0.1124,0.7485
data analysis,471,0.0913,0.1932,0.6178,0.0977,0.6274
mlops,462,0.0325,0.1558,0.6732,0.1385,0.8323
kubernetes,448,0.0424,0.1585,0.5982,0.2009,0.8359
model training,446,0.0426,0.1883,0.5381,0.2309,0.8206
prompt engineering,445,0.0539,0.1798,0.6449,0.1213,0.7461
model deployment,441,0.0431,0.2041,0.5896,0.1633,0.7698
causal inference,441,0.0363,0.1451,0.6508,0.1678,0.8481
generative ai,438,0.0434,0.1644,0.6187,0.1735,0.8139
computer vision,431,0.058,0.1763,0.5754,0.1903,0.7738
pandas,419,0.074,0.222,0.5895,0.1146,0.6504
c++,409,0.044,0.198,0.5721,0.1858,0.7848
data visualization,405,0.0815,0.2321,0.5951,0.0914,0.6099
experimentation,405,0.0321,0.1704,0.6049,0.1926,0.8457
feature engineering,402,0.0547,0.199,0.5547,0.1915,0.76
ci/cd,383,0.0522,0.1436,0.6658,0.1384,0.795
gcp,363,0.0523,0.2424,0.5647,0.1405,0.697
data science,358,0.0922,0.1564,0.5978,0.1536,0.6899
spark,349,0.043,0.1691,0.6304,0.1576,0.8023
docker,349,0.0516,0.192,0.6418,0.1146,0.7364
statistics,345,0.0899,0.1623,0.6319,0.1159,0.671
java,342,0.0643,0.2105,0.5731,0.152,0.7047
jax,342,0.0497,0.1199,0.5468,0.2836,0.8977
monitoring,341,0.0381,0.1496,0.607,0.2053,0.8578
statistical modeling,326,0.0552,0.2117,0.6012,0.1319,0.7163
numpy,314,0.0796,0.2102,0.5828,0.1274,0.6545
transformer,308,0.0357,0.1656,0.6136,0.1851,0.8377
distributed systems,301,0.0565,0.1096,0.5316,0.3023,0.9003
observability,298,0.047,0.094,0.6477,0.2114,0.8943
langchain,281,0.0854,0.2278,0.6192,0.0676,0.5925
data modeling,277,0.065,0.2058,0.6137,0.1155,0.6895
predictive modeling,275,0.0582,0.2145,0.6436,0.0836,0.6818
ai,269,0.0818,0.1747,0.5539,0.1896,0.7156
azure,266,0.0526,0.2594,0.5564,0.1316,0.6748
statistical analysis,265,0.0415,0.283,0.5774,0.0981,0.6623
evaluation frameworks,257,0.035,0.1362,0.5914,0.2374,0.8949
apis,255,0.1529,0.2627,0.4471,0.1373,0.4235
model monitoring,251,0.0279,0.1873,0.6454,0.1394,0.8127
distributed training,250,0.044,0.108,0.5,0.348,0.956
airflow,246,0.0569,0.2602,0.5285,0.1545,0.6748
testing,246,0.0528,0.126,0.6301,0.1911,0.8374
optimization,234,0.0556,0.1325,0.6239,0.188,0.8226
