canonical_skill,blog_count_technical,job_count,sd_ratio,sd_log10
python,25070,50103,0.5004,-0.3007
machine learning,27213,19095,1.4251,0.1539
pytorch,2787,5817,0.4791,-0.3196
sql,11336,26293,0.4311,-0.3654
llms,18477,10444,1.7691,0.2478
tensorflow,2729,3718,0.734,-0.1343
deep learning,6509,3822,1.703,0.2312
evaluation,17768,12814,1.3866,0.142
data pipelines,4598,10572,0.4349,-0.3616
aws,21748,32191,0.6756,-0.1703
fine-tuning,6515,3056,2.1319,0.3288
a/b testing,2530,2832,0.8934,-0.049
scikit-learn,1078,1569,0.6871,-0.163
model deployment,1197,1007,1.1887,0.0751
reinforcement learning,3773,1739,2.1696,0.3364
ci/cd,13709,24852,0.5516,-0.2584
mlops,2396,3000,0.7987,-0.0976
generative ai,15617,6586,2.3712,0.375
kubernetes,17105,20418,0.8377,-0.0769
data visualization,1635,3523,0.4641,-0.3334
rag,7149,4454,1.6051,0.2055
nlp,5222,2415,2.1623,0.3349
r,15257,9087,1.679,0.225
data analysis,5526,6956,0.7944,-0.0999
model training,4670,2890,1.6159,0.2084
computer vision,3586,4386,0.8176,-0.0875
c++,21902,26832,0.8163,-0.0882
experimentation,8090,9574,0.845,-0.0731
gcp,3956,15772,0.2508,-0.6006
jax,333,1228,0.2712,-0.5668
docker,11490,15830,0.7258,-0.1392
prompt engineering,4020,3751,1.0717,0.0301
azure,13696,17225,0.7951,-0.0996
pandas,2053,2319,0.8853,-0.0529
monitoring,37558,24638,1.5244,0.1831
observability,16388,15975,1.0259,0.0111
feature engineering,1148,1102,1.0417,0.0178
spark,4814,8256,0.5831,-0.2343
data science,9143,13180,0.6937,-0.1588
distributed systems,3637,14371,0.2531,-0.5967
java,7289,16385,0.4449,-0.3518
causal inference,323,1046,0.3088,-0.5103
distributed training,474,1044,0.454,-0.3429
statistics,7289,6175,1.1804,0.072
statistical modeling,188,921,0.2041,-0.6901
airflow,1468,3929,0.3736,-0.4276
testing,45901,37268,1.2316,0.0905
predictive modeling,587,674,0.8709,-0.06
evaluation frameworks,497,2083,0.2386,-0.6223
tableau,1066,6034,0.1767,-0.7528
statistical analysis,604,1377,0.4386,-0.3579
transformer,4887,1106,4.4186,0.6453
numpy,2439,1486,1.6413,0.2152
data modeling,964,4940,0.1951,-0.7096
