skill,total,entry_pct,mid_pct,senior_pct,staff_pct,entry_n,mid_n,senior_n,staff_n,omnibus_chi2,omnibus_p,omnibus_sig,resid_entry,resid_mid,resid_senior,resid_staff,delta_entry_to_mid,delta_mid_to_senior,delta_senior_to_staff,p_mid_to_senior,p_senior_to_staff,p_entry_to_mid,level_up_score
Python,1010,64.07766990291263,77.8169014084507,73.63420427553444,63.580246913580254,66,221,620,103,14.727632602742696,0.002064837969863914,False,-2.017795678780822,2.2057831457856127,1.0611564504060182,-2.741620423239114,13.739231505538074,-4.182697132916258,-10.053957361954192,0.18583568835202915,0.011910753857644486,0.00939551698682679,-0.7238247444582919
SQL,824,59.22330097087378,64.43661971830986,60.09501187648456,45.67901234567901,61,183,506,74,15.769012152501158,0.0012645771373637385,False,-0.003145945397760249,1.9985381934567152,0.8055887692568937,-3.7363113163019874,5.21331874743608,-4.341607841825301,-14.415999530805552,0.21947611239497516,0.0009160889348386864,0.41227844177522277,-3.7331653709042274
machine learning,602,33.980582524271846,42.95774647887324,45.13064133016627,40.123456790123456,35,122,380,65,5.4727957577853585,0.14027481668363337,False,-1.9791882418705302,-0.12218771492262895,1.7268883989666723,-0.8621878198588439,8.97716395460139,2.1728948512930337,-5.007184540042814,0.570013839861875,0.2763684305745027,0.1409211317337305,1.1170004220116865
R,332,18.446601941747574,28.169014084507044,23.27790973871734,22.839506172839506,19,80,196,37,4.812889504958152,0.18602233049908756,False,-1.341291907625578,1.9061543390282203,-0.6390821006058435,-0.3266172577326851,9.72241214275947,-4.891104345789704,-0.4384035658778346,0.11473663515380496,0.9844964156295667,0.07100026177973029,1.014674649892893
A/B testing,289,8.737864077669903,16.19718309859155,22.802850356294538,25.925925925925924,9,46,192,42,17.3976361303881,0.0005853758948734976,True,-3.1295799157076982,-2.1322073336489624,2.307026411163838,1.7186922466019894,7.4593190209216464,6.605667257702988,3.1230755696313865,0.022980471473000186,0.44752317703557576,0.09053269092145037,4.848272162309687
data visualization,255,20.388349514563107,19.718309859154928,18.52731591448931,13.580246913580247,21,56,156,22,3.1201320229135576,0.37347148263277236,False,0.5604805004250875,0.6767601345445845,0.23299055568488464,-1.6629501203472283,-0.6700396554081778,-1.1909939446656166,-4.947069000909066,0.7216875733370809,0.16225993841758232,0.9985149833942366,-2.223430620772316
causal inference,244,8.737864077669903,14.084507042253522,17.695961995249405,28.39506172839506,9,40,149,46,21.072908403670073,0.00010166883708161349,True,-2.4413429674554803,-1.7170283682927812,0.18778598443921435,3.8643320313638587,5.346642964583618,3.611454952995885,10.699099733145653,0.18803945555003607,0.0023351104199056108,0.22061320310789376,6.305674998819339
Data analysis,221,19.41747572815534,15.140845070422534,16.033254156769598,14.19753086419753,20,43,135,23,1.438489802022872,0.6965378242361882,False,1.018335554304982,-0.38602081766960294,0.18371597724078545,-0.6261119909423581,-4.276630657732805,0.8924090863470624,-1.8357232925720668,0.7929887750829678,0.6385051497054288,0.39456716758454236,-1.6444475452473402
data pipelines,203,22.330097087378643,18.661971830985916,12.945368171021377,11.11111111111111,23,53,109,18,12.129065154372478,0.006953864640988062,False,2.3111455599682,2.1767935721515332,-2.156651165022328,-1.3357736476190782,-3.6681252563927265,-5.716603659964539,-1.8342570599102659,0.02284946107131857,0.6071539073201221,0.5105374889336682,-3.6469192075872785
Statistical modeling,200,11.650485436893204,12.676056338028168,14.608076009501186,17.901234567901234,12,36,123,29,2.9603160404370055,0.3977842181888386,False,-0.8199185226568386,-0.9164049169632871,0.3026821581468285,1.3596434650620952,1.0255709011349645,1.9320196714730176,3.293158558400047,0.47771545080310684,0.34148866735772104,0.9234967616919003,2.179561987718934
pandas,179,11.650485436893204,16.549295774647888,12.589073634204276,8.641975308641975,12,47,106,14,6.207500741311504,0.10193989578045608,False,-0.3836229909452197,2.076572190188863,-0.38535128951102315,-1.7091165420520775,4.898810337754683,-3.9602221404436118,-3.947098325562301,0.1131703815589228,0.19844992950663312,0.30543285839126727,-1.3254935511068577
scikit-learn,175,6.796116504854369,10.56338028169014,14.133016627078385,11.728395061728394,7,30,119,19,6.136448003132944,0.10515718848451219,False,-1.8397167044407283,-1.1492197847552732,2.1617502847471104,-0.3480740683064734,3.767263776835772,3.5696363453882443,-2.4046215653499905,0.1515852887648974,0.490555827724626,0.3584804602791738,1.491642636134255
predictive modeling,175,7.766990291262135,14.084507042253522,13.657957244655583,7.4074074074074066,8,40,115,12,7.584650718759138,0.05542284438109594,False,-1.5309515094748676,0.8565075936570042,1.5001089081954344,-2.1123620449332963,6.317516750991387,-0.42654979759793876,-6.250549837248176,0.9355738728941922,0.03913820609664637,0.13573951298416428,-0.5814105354584287
data science,172,18.446601941747574,9.507042253521126,11.63895486935867,17.28395061728395,19,27,98,28,9.68312864793844,0.02146090325650402,False,1.9484472778145847,-1.6402004083110877,-1.0190151694680483,2.023301283976485,-8.939559688226446,2.131912615837543,5.64499574792528,0.37899481117532663,0.06335939927100573,0.026158338962750535,0.0748540061619003
PyTorch,167,7.766990291262135,10.915492957746478,14.014251781472684,6.172839506172839,8,31,118,10,10.503782300910759,0.014735261557176915,False,-1.3754390739693236,-0.6336603192583266,2.85419455486796,-2.4300137008224527,3.148502666484343,3.0987588237262056,-7.841412275299844,0.21815767133080727,0.009006537888733849,0.472589758928763,-1.054574626853129
experimentation,163,2.912621359223301,9.507042253521126,12.114014251781473,19.1358024691358,3,27,102,31,17.805907940380905,0.00048230710845668885,True,-2.8874582659727865,-1.2986750836459173,0.5684231915044237,3.12279526082916,6.5944208942978255,2.606971998260346,7.021788217354328,0.27787578618750125,0.02215075550652556,0.053744452717828455,6.010253526801947
