canonical,norm,members,total,method
machine learning,machine learning,machine learning(1696) / machine learning (ML)(11) / Machine learning (implied by AI models)(1) / machine-learning(1),1709,normalize
LLMs,,LLMs(328) <- deploying Large Language Models (LLMs)(1),590,acronym
LLMs,,LLMs(328) <- Large language models (LLMs)(146),589,acronym
deep learning,deep learning,deep learning(447) / Deep Learning (DL)(3),450,normalize
AWS,,AWS(400) <- Amazon Web Services (AWS)(7),409,acronym
NLP,,NLP(178) <- natural language processing (NLP)(102),379,acronym
A/B testing,a b testing,A/B testing(373) / A/B-Testing(3) / A-B testing(1),377,normalize
scikit-learn,scikit learn,scikit-learn(332) / scikit-learn (Sklearn)(4) / Scikit learn(2),338,normalize
RAG,,RAG(169) <- Retrieval-Augmented Generation (RAG)(110),333,acronym
fine-tuning,fine tuning,fine-tuning(288) / fine tuning(13),301,normalize
Large language models (LLMs),large language models,Large language models (LLMs)(146) / large language models(106) / Large Language Models (LLM)(9),261,normalize
Generative AI,generative ai,Generative AI(220) / Generative AI (GenAI)(4),224,normalize
CI/CD,ci cd,CI/CD(222) / CI CD(1),223,normalize
Kubernetes,kubernetes,Kubernetes(217) / Kubernetes (K8s)(2),219,normalize
natural language processing (NLP),natural language processing,natural language processing (NLP)(102) / Natural language processing(99),201,normalize
GCP,,GCP(172) <- Google Cloud Platform (GCP)(18),200,acronym
statistics,statistics,statistics(182) / statistics (descriptive)(2),184,normalize
RAG,rag,RAG(169) / RAG (Retrieval-Augmented Generation)(11) / RAG (Retrieval Augmented Generation)(2),182,normalize
Reinforcement learning,reinforcement learning,Reinforcement learning(160) / reinforcement learning (RL)(8) / reinforcement-learning(3),171,normalize
Retrieval-Augmented Generation (RAG),retrieval augmented generation,Retrieval-Augmented Generation (RAG)(110) / Retrieval-augmented generation(24) / retrieval augmented generation (RAG)(13) / Retrieval Augmented Generation(3) / Retrieval Augmented Generation (RAG)(1),151,normalize
evaluation,evaluation,"evaluation(108) / evaluation (evals)(4) / evaluation (e.g., benchmark overfitting detection)(3)",115,normalize
recommendation systems,recommendation systems,recommendation systems(113) / recommendation systems (RecSys)(1),114,normalize
Artificial Intelligence,artificial intelligence,Artificial Intelligence(104) / Artificial Intelligence (AI)(4) / artificial-intelligence(1),109,normalize
Data Mining,data mining,Data Mining(90) / data mining(1),91,normalize
ETL,,"ETL(85) <- extract, transform, and load (ETL)(1)",87,acronym
ETL,etl,"ETL(85) / ETL (Extracting, Transforming, and Loading)(1)",86,normalize
model serving,model serving,model serving(81) / model-serving(5),86,normalize
exploratory data analysis,exploratory data analysis,exploratory data analysis(67) / Exploratory data analysis (EDA)(16),83,normalize
Version control,version control,Version control(66) / version control (Git)(2),68,normalize
time-series forecasting,time series forecasting,time-series forecasting(30) / time series forecasting(23),53,normalize
metrics,metrics,metrics(50) / metrics (north star metric)(1),51,normalize
tool use,tool use,tool use(45) / tool-use(6),51,normalize
MCP,,MCP(29) <- Model Context Protocol (MCP)(16),47,acronym
data labeling,data labeling,data labeling(42) / data-labeling(1),43,normalize
information retrieval,information retrieval,information retrieval(42) / information retrieval (IR)(1),43,normalize
infrastructure as code,infrastructure as code,infrastructure as code(20) / infrastructure-as-code(14) / Infrastructure-as-Code (IaC)(5) / Infrastructure as Code (IaC)(4),43,normalize
time series analysis,time series analysis,time series analysis(27) / time-series analysis(13),40,normalize
vision-language models,vision language models,vision-language models(17) / Vision-Language Models (VLMs)(12) / vision language models (VLMs)(3) / vision language models(2) / vision-language models (LVLMs)(1) / vision-language models (VLM)(1),36,normalize
guardrails,guardrails,guardrails(30) / Guardrails(5),35,normalize
time series,time series,time series(25) / time-series(9),34,normalize
Node.js,nodejs,Node.js(31) / NodeJS(3),34,normalize
OCR,,OCR(32) <- optical character recognition (OCR)(2),34,acronym
Human-in-the-loop,human in the loop,Human-in-the-loop(27) / human-in-the-loop (HITL)(6),33,normalize
LoRA,lora,LoRA(30) / LoRA (low rank adaptation)(1),31,normalize
MCP,mcp,MCP(29) / MCP (Model Context Protocol)(1),30,normalize
full-stack development,full stack development,full-stack development(27) / full stack development(2),29,normalize
Google Cloud Platform (GCP),google cloud platform,Google Cloud Platform (GCP)(18) / Google Cloud Platform(10),28,normalize
ML ops,ml ops,ML ops(20) / ML-Ops(7),27,normalize
context engineering,context engineering,context engineering(24) / context-engineering(2),26,normalize
tool calling,tool calling,tool calling(15) / tool-calling(10),25,normalize
open-source,open source,open-source(18) / Open Source(7),25,normalize
RLHF,,RLHF(20) <- Reinforcement learning from human feedback (RLHF)(5),25,acronym
TTS,,TTS(7) <- Text-to-speech (TTS)(10),25,acronym
Statistical Techniques,statistical techniques,Statistical Techniques(22) / statistical techniques(1),23,normalize
