family,n,n_emp,top_emp,top_pct,hhi,emp_to_50pct,med_K,retained
mission software engineer,62,3,anduril,85.5,0.7414,1,222.0,False
firmware engineer,68,12,anduril,54.4,0.3417,1,192.8,False
applied scientist,80,24,amazon,53.8,0.3016,1,200.2,False
cybersecurity specialist,217,44,defenseinformationsystemsagencydisa,44.2,0.2129,2,125.2,False
solutions architect,461,158,databricks,39.7,0.1628,6,210.0,False
forward deployed engineer,163,65,databricks,36.2,0.1409,6,214.5,False
technical program manager,159,66,anduril,30.8,0.1081,7,190.0,False
research engineer,205,71,anthropic,26.8,0.0874,7,260.0,False
devsecops engineer,62,33,metrostar,21.0,0.0749,6,170.7,True
research scientist,265,85,anduril,18.9,0.058,8,215.0,True
embedded software engineer,279,94,vardaspace,17.9,0.0605,9,173.5,True
engineering manager,76,50,databricks,15.8,0.0426,13,251.4,False
systems engineer,725,235,anduril,13.4,0.0334,19,153.5,True
program manager,73,43,anduril,12.3,0.0445,11,170.0,True
ml engineer,529,229,waymo,11.2,0.0199,31,208.6,True
it specialist,191,72,unitedstatesfleetforcescommand,11.0,0.032,13,119.6,False
site reliability engineer,319,145,anduril,10.3,0.028,21,183.0,True
frontend engineer,180,121,verkada,10.0,0.0186,31,195.2,True
business analyst,132,82,lightfeatherio,9.1,0.0257,18,120.0,True
qa / sdet engineer,234,136,anduril,8.5,0.0195,30,146.8,True
backend engineer,383,194,verkada,8.4,0.0144,37,195.5,True
security engineer,422,207,spacex,7.8,0.0146,37,189.0,True
cloud engineer,66,39,clickhouse,7.6,0.039,10,168.9,True
software engineer,5855,1498,anduril,7.5,0.0091,105,193.0,True
infrastructure engineer,121,86,bitgo,7.4,0.0188,26,192.5,True
analytics engineer,88,62,metropolis,6.8,0.0217,19,165.2,True
ai engineer,164,109,spacex,6.1,0.0161,27,197.5,True
product engineer,68,47,truebill,5.9,0.0264,15,200.0,True
test engineer,104,66,snc,5.8,0.0218,19,138.5,False
data analyst,187,116,capitalone,5.3,0.017,25,129.5,True
platform engineer,145,103,defenseunicorns,4.8,0.0136,31,183.0,True
devops engineer,224,129,grvty,4.5,0.0142,28,170.0,True
product manager,458,262,adobe,3.3,0.0078,58,185.0,True
full stack engineer,595,334,discord,3.2,0.0074,67,180.0,True
data scientist,666,352,boozallenhamilton,3.2,0.0066,66,174.7,True
data engineer,435,278,capitalone,3.2,0.0069,66,165.8,True
product designer,458,275,anduril,3.1,0.0077,58,179.4,True
