role,M1 role only,M2 + level,M3 + level + state,M4 + level + state + employer
ml engineer,14.637816315123796,11.197905005305753,8.126484121267797,7.5762281468434445
research scientist,7.753076766584854,4.933443131358395,6.226211165082707,2.1718533347888425
product engineer,4.578561575427309,8.721371473448226,1.8705989416128554,5.43073423982805
ai engineer,1.4514346163560399,2.14691326800287,1.7590136752342778,5.936138517873801
infrastructure engineer,2.7164333190606405,2.209752012499022,1.163025403194884,1.1036587791733332
backend engineer,3.524596467330543,2.468371517847179,0.35918838891586535,3.478287330998775
frontend engineer,0.0075867670765505935,1.1934535288421255,-0.48583678724890556,2.3417227378752514
security engineer,-3.3566763518681375,-3.325218838156052,-2.131565065865404,-1.9555382666743393
platform engineer,-3.554436904415803,-4.610905887657979,-2.6225654488187367,0.2775091978294064
site reliability engineer,-4.629775325863871,-5.481495109234347,-4.122240845501446,-2.5628614851122
product manager,2.1609249532603236,-4.164094252156669,-4.497602841725601,-2.193145944782604
full stack engineer,-9.174509016907296,-4.841909158801805,-4.828244129974902,-2.140503183131248
devsecops engineer,-14.684155330471938,-14.11717205755073,-5.177557904209051,-1.1052697409394963
data scientist,-11.717407844111305,-10.277679300302356,-7.516362647518616,-5.734999440056232
data engineer,-13.901932937463657,-11.250870730829742,-7.808687136849024,-6.10276907903986
product designer,-4.165474916316714,-6.929019644209323,-8.981983730086728,-6.867875051590444
cloud engineer,-18.722307370118475,-15.053396207299109,-9.263346412336059,-6.124208512453944
analytics engineer,-14.261244129506423,-10.971876592771789,-9.440056576209098,-7.631698843272794
devops engineer,-15.976087267107664,-13.93460293209763,-9.769572485332622,-6.599842997409711
embedded software engineer,-13.268345707806406,-12.899376793218442,-12.991329216040414,-9.680358767609453
program manager,-13.082162255863928,-16.447790009555206,-14.910789039725447,-13.66216936340141
systems engineer,-21.880023495743707,-21.486625395000893,-16.502341592847223,-11.140428986809214
test engineer,-34.65303473092396,-29.442322163248903,-26.91626371940804,-23.88005414160659
data analyst,-40.69867172169974,-35.01504013333165,-31.631124535560527,-30.164092482495576
business analyst,-42.976889288577745,-37.543662107091116,-32.49204149471493,-31.103085510231466
