family,Entry,Mid,Senior,Staff+,E_to_S,nE,nS
ml engineer,150000.0,193000.0,208575.0,270000.0,120000.0,45,370
product manager,110000.0,165000.0,185000.0,222000.0,112000.0,101,593
data engineer,117473.75,141020.0,165850.0,226000.0,108526.25,76,118
product designer,127500.0,157250.0,179425.0,215000.0,87500.0,28,216
software engineer,145000.0,167084.5,193000.0,232500.0,87500.0,1150,2704
product engineer,160000.0,185000.0,200000.0,243333.5,83333.5,31,39
devops engineer,108750.0,138100.0,170000.0,188680.75,79930.75,26,48
backend engineer,150000.0,164125.0,195500.0,226000.0,76000.0,33,131
frontend engineer,150000.0,172750.0,195250.0,225000.0,75000.0,34,69
systems engineer,100000.0,131000.0,153500.0,172500.0,72500.0,147,306
data analyst,80907.5,100000.0,129500.0,152826.5,71919.0,78,31
ai engineer,150000.0,180000.0,197500.0,221250.0,71250.0,31,80
program manager,119473.75,106500.0,170000.0,190225.0,70751.25,32,86
security engineer,152500.0,155000.0,189000.0,223250.0,70750.0,66,122
full stack engineer,150000.0,157500.0,180000.0,220000.0,70000.0,123,98
test engineer,97421.0,110022.25,138525.0,166750.0,69329.0,57,31
data scientist,133139.25,144000.0,174654.0,200650.0,67510.75,110,239
site reliability engineer,150000.0,150000.0,183000.0,212500.0,62500.0,29,79
embedded software engineer,130000.0,146250.0,173500.0,192500.0,62500.0,48,110
research scientist,170000.0,98931.5,215000.0,211300.0,41300.0,33,93
