family,n,med,lo,hi,rank
research scientist,265,215000.0,200000.0,222000.0,1
ml engineer,529,208575.0,205000.0,213281.25000000012,2
product engineer,68,200000.0,192500.0,208750.0,3
ai engineer,164,197500.0,192825.0,205500.0,4
backend engineer,383,195500.0,191500.0,199998.0,5
frontend engineer,180,195250.0,190000.0,200000.0,6
software engineer,5855,193000.0,192500.0,194250.0,7
infrastructure engineer,121,192500.0,182500.0,200000.0,8
security engineer,422,189000.0,180000.0,190000.0,9
product manager,458,185000.0,182631.25,190000.0,10
platform engineer,145,183000.0,177773.5,195461.0,11
site reliability engineer,319,183000.0,177500.0,190000.0,12
full stack engineer,595,180000.0,175000.0,185000.0,13
product designer,458,179425.0,175000.0,184000.0,14
data scientist,666,174654.0,166680.0,178462.5,15
embedded software engineer,279,173500.0,170000.0,180000.0,16
devsecops engineer,62,170675.0,160000.0,180000.0,17
devops engineer,224,170000.0,165000.0,172500.0,18
program manager,73,170000.0,162000.0,179450.0,19
cloud engineer,66,168925.0,160000.0,174500.0,20
data engineer,435,165850.0,162500.0,170000.0,21
analytics engineer,88,165250.0,154500.0,180000.0,22
systems engineer,725,153500.0,147500.0,160000.0,23
qa / sdet engineer,234,146750.0,138250.0,152971.25,24
data analyst,187,129500.0,123000.0,140000.0,25
business analyst,132,120000.0,120000.0,125000.0,26
