role,senior,staffplus,promo_gain,switch_gain,promo_minus_switch
research scientist,215000.0,211300.0,-3700.0,0.0,-3700.0
ml engineer,208575.0,270000.0,61425.0,6425.0,55000.0
product engineer,200000.0,243333.5,43333.5,15000.0,28333.5
ai engineer,197500.0,221250.0,23750.0,17500.0,6250.0
backend engineer,195500.0,226000.0,30500.0,19500.0,11000.0
frontend engineer,195250.0,225000.0,29750.0,19750.0,10000.0
software engineer,193000.0,232500.0,39500.0,22000.0,17500.0
infrastructure engineer,192500.0,254400.0,61900.0,22500.0,39400.0
security engineer,189000.0,223250.0,34250.0,26000.0,8250.0
product manager,185000.0,222000.0,37000.0,30000.0,7000.0
site reliability engineer,183000.0,212500.0,29500.0,32000.0,-2500.0
platform engineer,183000.0,203500.0,20500.0,32000.0,-11500.0
full stack engineer,180000.0,220000.0,40000.0,35000.0,5000.0
product designer,179425.0,215000.0,35575.0,35575.0,0.0
data scientist,174654.0,200650.0,25996.0,40346.0,-14350.0
embedded software engineer,173500.0,192500.0,19000.0,41500.0,-22500.0
program manager,170000.0,190225.0,20225.0,45000.0,-24775.0
devops engineer,170000.0,188680.75,18680.75,45000.0,-26319.25
data engineer,165850.0,226000.0,60150.0,49150.0,11000.0
systems engineer,153500.0,172500.0,19000.0,61500.0,-42500.0
test engineer,138525.0,166750.0,28225.0,76475.0,-48250.0
data analyst,129500.0,152826.5,23326.5,85500.0,-62173.5
