technology,peak_share_pct,peak_quarter,rise_quarters,fall_quarters_to_half,still_above_half,share_2025Q3_pct,pct_of_peak
C++,3.829,1996Q4,3,27,no,0.731,19.1
Unix,2.698,1996Q2,1,23,no,0.047,1.7
C,2.437,1996Q1,0,25,no,0.174,7.2
Novell,0.624,1996Q4,3,5,no,0.000,0.0
Windows,2.795,1997Q1,4,25,no,0.476,17.0
COBOL,2.351,1997Q4,7,9,no,0.042,1.8
Db2,1.631,1997Q4,7,15,no,0.066,4.0
Windows NT,1.607,1997Q4,7,13,no,0.000,0.0
MS Access,1.055,1997Q1,4,32,no,0.009,0.9
PowerBuilder,1.051,1997Q3,6,6,no,0.009,0.9
Solaris,1.028,1997Q1,4,25,no,0.009,0.9
TCP/IP,0.720,1997Q4,7,17,no,0.052,7.2
Delphi,0.513,1997Q3,6,6,no,0.000,0.0
Visual Basic,2.732,1998Q2,9,20,no,0.052,1.9
Crystal Reports,0.948,1998Q4,11,42,no,0.033,3.5
Oracle,3.813,1999Q3,14,19,no,0.485,12.7
ASP,1.723,1999Q4,15,15,no,0.005,0.3
Java,3.914,2000Q4,19,99,no,1.876,47.9
HTML,2.820,2000Q3,18,100,no,1.230,43.6
SQL Server,2.622,2000Q3,18,71,no,0.792,30.2
XML,2.170,2000Q4,11,35,no,0.160,7.4
Linux,1.868,2000Q4,19,72,no,0.735,39.4
Perl,1.566,2000Q4,19,16,no,0.028,1.8
IIS,0.700,2000Q4,19,17,no,0.033,4.7
JSP,1.073,2001Q1,13,10,no,0.042,4.0
PL/SQL,0.999,2001Q1,20,11,no,0.118,11.8
J2EE,0.810,2001Q2,13,27,no,0.024,2.9
Flash,0.557,2001Q3,22,35,no,0.005,0.8
ASP.NET,1.758,2005Q3,27,29,no,0.123,7.0
.NET,1.029,2005Q4,31,39,no,0.391,38.0
Active Directory,1.290,2007Q4,43,48,no,0.712,55.2
C#,2.888,2008Q2,43,64,no,0.976,33.8
PHP,1.913,2008Q3,47,35,no,0.363,19.0
SAP,0.829,2008Q1,48,49,no,0.344,41.5
VMware,0.629,2008Q4,51,33,no,0.141,22.5
AJAX,0.892,2009Q1,38,19,no,0.047,5.3
SharePoint,0.940,2010Q4,46,,yes,0.622,66.2
jQuery,1.617,2013Q1,27,21,no,0.141,8.7
SSRS,0.538,2015Q3,70,21,no,0.075,14.0
Angular,1.623,2016Q1,15,37,no,0.641,39.5
Bootstrap,0.816,2016Q2,16,33,no,0.203,24.8
MATLAB,0.771,2018Q1,67,26,no,0.283,36.7
SSIS,0.562,2018Q1,76,13,no,0.123,21.8
Hadoop,0.504,2018Q4,33,22,no,0.151,29.9
Selenium,0.848,2019Q2,37,,yes,0.485,57.2
Ansible,0.683,2019Q4,23,,yes,0.349,51.1
Jenkins,2.052,2020Q3,34,,yes,1.079,52.6
JSON,0.643,2020Q3,62,,yes,0.353,55.0
Spark,0.620,2020Q2,23,,yes,0.335,54.0
JavaScript,3.691,2021Q1,100,,yes,1.984,53.8
CSS,2.405,2021Q2,95,17,no,1.117,46.4
Node.js,2.059,2021Q3,32,,yes,1.612,78.3
MySQL,1.623,2021Q1,96,,yes,0.830,51.1
Salesforce,1.082,2021Q4,47,,yes,0.914,84.5
EC2,0.768,2021Q1,30,,yes,0.434,56.4
AWS,3.361,2022Q2,33,,yes,2.569,76.4
Jira,2.840,2022Q3,42,,yes,1.843,64.9
Git,1.582,2022Q4,43,,yes,1.112,70.3
Postman,0.808,2022Q3,25,,yes,0.603,74.7
Vue.js,0.580,2022Q2,27,12,no,0.269,46.3
React,4.903,2023Q4,28,,yes,4.218,86.0
MongoDB,1.183,2023Q4,42,,yes,0.877,74.1
GitHub,1.172,2023Q1,29,,yes,0.976,83.3
Kafka,1.080,2023Q4,34,,yes,0.716,66.3
Flask,0.771,2023Q4,28,,yes,0.745,96.6
Confluence,0.758,2023Q3,40,,yes,0.584,77.1
Django,0.748,2023Q3,39,,yes,0.391,52.3
GraphQL,0.603,2023Q3,26,,yes,0.320,53.2
Go,0.572,2023Q2,31,,yes,0.434,75.7
Python,11.720,2024Q2,34,,yes,10.996,93.8
SQL,6.945,2024Q3,114,,yes,6.170,88.8
Power BI,4.564,2024Q3,27,,yes,4.157,91.1
Tableau,3.301,2024Q4,40,,yes,2.597,78.7
Docker,2.617,2024Q4,37,,yes,2.291,87.5
PostgreSQL,2.064,2024Q3,37,,yes,1.904,92.3
Kubernetes,1.919,2024Q1,29,,yes,1.513,78.8
Azure,1.856,2024Q3,39,,yes,1.357,73.1
Terraform,1.641,2024Q2,29,,yes,1.244,75.8
Snowflake,1.536,2024Q3,23,,yes,1.254,81.6
Spring Boot,1.441,2024Q3,33,,yes,1.056,73.3
S3,1.141,2024Q1,35,,yes,1.009,88.4
GCP,1.130,2024Q3,31,,yes,0.933,82.6
Azure DevOps,1.043,2024Q3,28,,yes,0.801,76.8
GitHub Actions,1.032,2024Q3,17,,yes,0.938,90.9
Databricks,1.021,2024Q3,21,,yes,0.929,91.0
NumPy,0.781,2024Q1,24,,yes,0.627,80.3
Splunk,0.761,2024Q2,41,,yes,0.665,87.4
TensorFlow,0.657,2024Q1,27,,yes,0.485,73.9
PowerShell,0.616,2024Q2,65,,yes,0.514,83.5
Excel,3.944,2025Q1,116,,yes,3.624,91.9
TypeScript,2.041,2025Q3,33,,yes,2.041,100.0
LLMs,1.692,2025Q3,9,,yes,1.692,100.0
Figma,1.409,2025Q1,19,,yes,1.273,90.3
pandas,1.398,2025Q2,28,,yes,1.296,92.7
R,1.390,2025Q1,46,,yes,1.188,85.5
Next.js,0.976,2025Q3,18,,yes,0.976,100.0
PyTorch,0.829,2025Q1,22,,yes,0.735,88.6
ServiceNow,0.795,2025Q1,40,,yes,0.773,97.2
scikit-learn,0.719,2025Q2,32,,yes,0.707,98.3
Airflow,0.585,2025Q1,28,,yes,0.514,87.8
