quarter,Python,SQL,React,Power BI,Excel,Java,C++,Oracle,JavaScript,AWS,Tableau,C#,Jira,HTML,Windows,Visual Basic,Unix,SQL Server,Docker,C,CSS,COBOL,XML,PostgreSQL,Node.js,Jenkins,TypeScript,Kubernetes,PHP,Linux,Azure,ASP.NET,ASP,LLMs,Terraform,Db2,Angular,MySQL,jQuery,Windows NT,Git,Perl,Snowflake,Spring Boot,Figma,pandas,R,Active Directory,MongoDB,GitHub,S3,GCP,Salesforce,Kafka,JSP,MS Access,PowerBuilder,Azure DevOps,GitHub Actions,.NET,Solaris,Databricks,PL/SQL,Next.js,Crystal Reports,SharePoint,AJAX,Selenium,PyTorch,SAP,Bootstrap,J2EE,Postman,ServiceNow,NumPy,Flask,MATLAB,EC2,Splunk,Confluence,Django,TCP/IP,scikit-learn,IIS,Ansible,TensorFlow,JSON,VMware,Novell,Spark,PowerShell,GraphQL,Airflow,Vue.js,Go,SSIS,Flash,SSRS,Delphi,Hadoop
1996Q1,0.1318,2.0751,0.0000,0.0329,1.3175,2.3057,3.3926,2.4045,1.2846,0.0329,0.0000,0.4611,0.0329,1.8445,1.0540,2.6021,2.5362,1.6469,0.0000,2.4374,0.4282,1.8775,0.4611,0.0988,0.0000,0.0000,0.0000,0.0000,0.4282,0.7905,0.0329,0.2635,0.5599,0.0000,0.0000,1.4163,0.0000,0.2635,0.1647,1.1199,0.0000,1.3505,0.0000,0.0000,0.0000,0.0000,0.0000,0.2306,0.0329,0.0000,0.0000,0.0000,0.0659,0.0000,0.2306,0.8564,0.9881,0.0000,0.0000,0.1318,0.3953,0.0000,0.7576,0.0000,0.3623,0.0659,0.0988,0.0000,0.0000,0.5599,0.0000,0.1647,0.0000,0.0329,0.0000,0.0000,0.0988,0.0000,0.0000,0.0000,0.0000,0.4611,0.0000,0.1976,0.0000,0.0000,0.0659,0.1647,0.5270,0.0000,0.0329,0.0000,0.0000,0.0000,0.0000,0.0659,0.1647,0.0329,0.2306,0.0000
1996Q2,0.1240,2.1395,0.0000,0.0310,1.2713,2.4806,3.6279,2.4806,1.1163,0.0310,0.0000,0.3101,0.0620,1.5814,1.3023,2.4806,2.6977,1.5504,0.0000,2.3256,0.3101,1.9845,0.4961,0.0930,0.0000,0.0000,0.0000,0.0000,0.3101,0.8372,0.0310,0.2171,0.4651,0.0000,0.0000,1.3953,0.0310,0.1860,0.0620,0.9302,0.0000,1.3953,0.0000,0.0000,0.0000,0.0000,0.0000,0.2791,0.0000,0.0000,0.0310,0.0000,0.0620,0.0000,0.2171,0.8372,0.8992,0.0000,0.0000,0.1240,0.5891,0.0000,0.7752,0.0000,0.3721,0.0930,0.1240,0.0000,0.0000,0.4961,0.0000,0.1860,0.0000,0.0310,0.0000,0.0000,0.1550,0.0000,0.0000,0.0000,0.0000,0.6202,0.0000,0.2481,0.0310,0.0000,0.0620,0.0930,0.5581,0.0000,0.0310,0.0000,0.0000,0.0000,0.0000,0.0310,0.1240,0.0310,0.2791,0.0000
1996Q3,0.1780,2.1365,0.0000,0.0000,1.3056,2.5816,3.7092,2.5223,1.3056,0.0000,0.0000,0.3561,0.0593,1.7507,1.6617,2.6706,2.4629,1.6024,0.0000,2.1958,0.2967,1.8694,0.5045,0.0890,0.0000,0.0000,0.0000,0.0000,0.4748,0.8605,0.0297,0.2374,0.4748,0.0000,0.0000,1.2166,0.0593,0.2374,0.1187,0.9792,0.0000,1.4540,0.0000,0.0000,0.0000,0.0000,0.0000,0.2374,0.0297,0.0000,0.0297,0.0000,0.0890,0.0000,0.2374,0.8605,0.8012,0.0000,0.0000,0.1484,0.6825,0.0000,0.7122,0.0000,0.4154,0.0890,0.1187,0.0000,0.0000,0.5045,0.0000,0.1780,0.0000,0.0297,0.0000,0.0000,0.1484,0.0000,0.0000,0.0000,0.0000,0.6231,0.0000,0.3264,0.0297,0.0000,0.0593,0.0593,0.5341,0.0000,0.0297,0.0000,0.0000,0.0000,0.0000,0.0297,0.1780,0.0297,0.2671,0.0000
1996Q4,0.1985,2.1271,0.0000,0.0000,1.2479,2.6375,3.8287,2.5525,1.3046,0.0000,0.0000,0.4254,0.0284,1.7016,2.1554,2.6092,2.3256,1.4180,0.0000,2.1271,0.3403,1.8151,0.5105,0.0851,0.0000,0.0000,0.0000,0.0000,0.5389,0.9075,0.0284,0.2269,0.4821,0.0000,0.0000,1.0210,0.0567,0.3687,0.1418,0.8792,0.0000,1.5598,0.0000,0.0000,0.0000,0.0000,0.0000,0.2552,0.0284,0.0000,0.0284,0.0000,0.0851,0.0000,0.2269,0.9075,0.7657,0.0000,0.0000,0.1985,0.7374,0.0000,0.6807,0.0000,0.4254,0.0851,0.1418,0.0000,0.0000,0.5105,0.0000,0.1702,0.0000,0.0284,0.0000,0.0000,0.1134,0.0000,0.0000,0.0000,0.0000,0.6523,0.0000,0.3403,0.0284,0.0000,0.0284,0.0851,0.6239,0.0000,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.1702,0.0000,0.3971,0.0000
1997Q1,0.1055,2.0564,0.0000,0.0000,1.0546,2.8210,3.6910,2.5837,1.5028,0.0000,0.0000,0.5800,0.0264,1.7400,2.7946,2.3992,2.6101,1.6346,0.0000,1.9773,0.5537,2.0828,0.4218,0.0264,0.0264,0.0264,0.0000,0.0000,0.5537,0.8173,0.0264,0.3691,0.5537,0.0000,0.0000,1.3182,0.0527,0.5273,0.1582,1.1864,0.0000,1.3182,0.0000,0.0000,0.0000,0.0000,0.0000,0.3955,0.0264,0.0000,0.0264,0.0264,0.0264,0.0000,0.1582,1.0546,0.7382,0.0000,0.0000,0.2373,1.0282,0.0000,0.8173,0.0000,0.7118,0.1318,0.1318,0.0000,0.0000,0.3955,0.0264,0.1055,0.0000,0.0527,0.0000,0.0000,0.1846,0.0000,0.0000,0.0000,0.0000,0.7118,0.0000,0.2900,0.0264,0.0000,0.0000,0.0527,0.5273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0527,0.1582,0.0000,0.4482,0.0000
1997Q2,0.1285,1.9784,0.0000,0.0257,0.9764,2.6978,3.7770,2.8520,1.5930,0.0000,0.0000,0.7194,0.0000,1.8756,2.6208,2.5437,2.4152,1.7215,0.0000,1.9527,0.5396,2.2097,0.3854,0.0771,0.0257,0.0257,0.0000,0.0000,0.5653,0.8479,0.0514,0.4368,0.7965,0.0000,0.0257,1.3104,0.0257,0.5910,0.1799,1.4902,0.0000,1.3104,0.0000,0.0000,0.0000,0.0000,0.0000,0.4368,0.0257,0.0000,0.0000,0.0257,0.0257,0.0000,0.1799,1.0277,0.9507,0.0000,0.0000,0.2312,0.8736,0.0000,0.8222,0.0000,0.7708,0.1285,0.1285,0.0000,0.0000,0.3854,0.0257,0.0771,0.0000,0.0514,0.0000,0.0000,0.1285,0.0000,0.0000,0.0000,0.0000,0.6166,0.0000,0.3854,0.0000,0.0000,0.0000,0.0514,0.4625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0514,0.2055,0.0257,0.4111,0.0000
1997Q3,0.1222,1.9804,0.0000,0.0489,0.8802,2.6406,3.6675,2.7139,1.4670,0.0000,0.0244,0.7335,0.0000,1.6381,2.6406,2.5672,2.5917,1.7848,0.0000,2.0782,0.6112,2.2738,0.4156,0.0733,0.0244,0.0244,0.0000,0.0000,0.4156,0.9780,0.0489,0.3912,0.9046,0.0000,0.0244,1.5648,0.0000,0.5868,0.1467,1.5159,0.0000,1.2469,0.0000,0.0000,0.0000,0.0000,0.0000,0.4890,0.0244,0.0000,0.0000,0.0244,0.0000,0.0000,0.2445,0.9535,1.0513,0.0000,0.0000,0.1956,0.8802,0.0000,0.8313,0.0000,0.8313,0.0978,0.1222,0.0000,0.0000,0.3423,0.0244,0.1467,0.0000,0.0733,0.0000,0.0000,0.1711,0.0000,0.0000,0.0244,0.0000,0.6357,0.0000,0.3667,0.0000,0.0000,0.0000,0.0978,0.4156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1222,0.2200,0.0733,0.5134,0.0000
1997Q4,0.1440,1.9914,0.0000,0.0480,0.9837,2.6152,3.5269,2.5672,1.4635,0.0000,0.0240,0.7678,0.0240,1.7994,2.3512,2.5912,2.5432,1.9194,0.0000,2.0873,0.6718,2.3512,0.4559,0.1200,0.0240,0.0720,0.0000,0.0000,0.4079,0.9357,0.0480,0.3839,0.9357,0.0000,0.0240,1.6315,0.0000,0.5038,0.1200,1.6075,0.0240,1.3196,0.0000,0.0000,0.0000,0.0000,0.0000,0.4798,0.0240,0.0000,0.0000,0.0240,0.0240,0.0000,0.2879,0.8877,1.0077,0.0000,0.0000,0.1919,0.8157,0.0000,0.9117,0.0000,0.8397,0.0960,0.0960,0.0000,0.0000,0.3359,0.0240,0.1919,0.0000,0.0480,0.0000,0.0000,0.1200,0.0000,0.0000,0.0240,0.0240,0.7198,0.0000,0.3119,0.0000,0.0000,0.0000,0.0960,0.3599,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.1200,0.2639,0.1200,0.4319,0.0000
1998Q1,0.2011,2.1001,0.0223,0.0447,1.1618,3.0161,3.5299,2.8820,1.0947,0.0223,0.0223,0.7373,0.0894,1.7650,2.1895,2.6139,2.3458,1.8990,0.0000,2.0107,0.4915,2.2788,0.7373,0.1564,0.0223,0.0447,0.0000,0.0000,0.3575,1.2511,0.0894,0.3575,1.0500,0.0000,0.0223,1.4075,0.0000,0.4915,0.0894,1.3852,0.0223,1.2288,0.0000,0.0000,0.0000,0.0000,0.0000,0.6256,0.0223,0.0000,0.0000,0.0223,0.0223,0.0223,0.4245,0.8043,1.0500,0.0000,0.0000,0.2904,0.9383,0.0000,0.8266,0.0000,0.9160,0.1340,0.0670,0.0000,0.0000,0.6032,0.0000,0.2458,0.0000,0.0223,0.0000,0.0000,0.0670,0.0000,0.0223,0.0223,0.0223,0.6256,0.0000,0.6032,0.0223,0.0000,0.0223,0.0894,0.2681,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0670,0.2458,0.1564,0.3351,0.0000
1998Q2,0.1936,2.3016,0.0215,0.0215,1.5272,3.0759,3.3341,2.9254,1.1615,0.0215,0.0215,0.7529,0.1076,1.8929,2.1295,2.7318,2.2801,2.0004,0.0000,2.0865,0.5378,1.9574,0.6668,0.1291,0.0215,0.0860,0.0000,0.0000,0.4302,1.3766,0.0860,0.3442,1.0540,0.0000,0.0000,1.4197,0.0215,0.4947,0.0860,1.2046,0.0430,1.2691,0.0000,0.0000,0.0000,0.0000,0.0215,0.6668,0.0430,0.0215,0.0000,0.0215,0.0430,0.0215,0.4302,0.8389,0.9034,0.0000,0.0000,0.3011,0.9680,0.0000,0.8604,0.0000,0.9034,0.1506,0.0430,0.0000,0.0000,0.6453,0.0000,0.3227,0.0000,0.0215,0.0000,0.0000,0.0645,0.0000,0.0430,0.0215,0.0215,0.5808,0.0000,0.4732,0.0215,0.0000,0.0215,0.2151,0.3442,0.0430,0.0215,0.0000,0.0000,0.0000,0.0000,0.1076,0.2581,0.1291,0.3657,0.0215
